{'ticket': 203911706, 'order': 0, 'time': 1732166195, 'time_msc': 1732166195566, 'type': 2, 'entry': 0, 'magic': 0, 'position_id': 0, 'reason': 0, 'volume': 0.0, 'price': 0.0, 'commission': 0.0, 'swap': 0.0, 'profit': 6500.0, 'fee': 0.0, 'symbol': '', 'comment': 'D-ALLINT-USC-INT-2069944419', 'external_id': ''}
{'ticket': 203911757, 'order': 266288671, 'time': 1732166196, 'time_msc': 1732166196948, 'type': 0, 'entry': 0, 'magic': 1, 'position_id': 266288671, 'reason': 3, 'volume': 0.01, 'price': 2655.482, 'commission': 0.0, 'swap': 0.0, 'profit': 0.0, 'fee': 0.0, 'symbol': 'XAUUSDc', 'comment': 'ID: 1 / LENH DAU TIEN', 'external_id': ''}
{'ticket': 203911846, 'order': 266288688, 'time': 1732166197, 'time_msc': 1732166197110, 'type': 1, 'entry': 0, 'magic': 1, 'position_id': 266288688, 'reason': 3, 'volume': 0.01, 'price': 2655.2200000000003, 'commission': 0.0, 'swap': 0.0, 'profit': 0.0, 'fee': 0.0, 'symbol': 'XAUUSDc', 'comment': 'ID: 1 / LENH DAU TIEN', 'external_id': ''}
{'ticket': 203928581, 'order': 266309888, 'time': 1732167000, 'time_msc': 1732167000716, 'type': 1, 'entry': 1, 'magic': 1, 'position_id': 266288671, 'reason': 5, 'volume': 0.01, 'price': 2656.482, 'commission': 0.0, 'swap': 0.0, 'profit': 1.0, 'fee': 0.0, 'symbol': 'XAUUSDc', 'comment': '[tp 2656.482]', 'external_id': ''}
{'ticket': 203990879, 'order': 266387666, 'time': 1732169474, 'time_msc': 1732169474460, 'type': 1, 'entry': 0, 'magic': 1, 'position_id': 266387666, 'reason': 3, 'volume': 0.02, 'price': 2658.339, 'commission': 0.0, 'swap': 0.0, 'profit': 0.0, 'fee': 0.0, 'symbol': 'XAUUSDc', 'comment': 'ID: 1 / LENH DCA NGHICH 1', 'external_id': ''}
{'ticket': 204021927, 'order': 266421951, 'time': 1732169997, 'time_msc': 1732169997931, 'type': 1, 'entry': 0, 'magic': 1, 'position_id': 266421951, 'reason': 3, 'volume': 0.04, 'price': 2661.4120000000003, 'commission': 0.0, 'swap': 0.0, 'profit': 0.0, 'fee': 0.0, 'symbol': 'XAUUSDc', 'comment': 'ID: 1 / LENH DCA NGHICH 2', 'external_id': ''}
{'ticket': 204086719, 'order': 266506776, 'time': 1732172532, 'time_msc': 1732172532582, 'type': 0, 'entry': 0, 'magic': 1, 'position_id': 266506776, 'reason': 3, 'volume': 0.01, 'price': 2661.113, 'commission': 0.0, 'swap': 0.0, 'profit': 0.0, 'fee': 0.0, 'symbol': 'XAUUSDc', 'comment': 'ID: 1 / LENH 1', 'external_id': ''}
{'ticket': 204112966, 'order': 266540888, 'time': 1732173788, 'time_msc': 1732173788707, 'type': 1, 'entry': 1, 'magic': 1, 'position_id': 266506776, 'reason': 5, 'volume': 0.01, 'price': 2662.113, 'commission': 0.0, 'swap': 0.0, 'profit': 1.0, 'fee': 0.0, 'symbol': 'XAUUSDc', 'comment': '[tp 2662.113]', 'external_id': ''}
{'ticket': 204156136, 'order': 266591374, 'time': 1732175041, 'time_msc': 1732175041293, 'type': 1, 'entry': 0, 'magic': 1, 'position_id': 266591374, 'reason': 3, 'volume': 0.08, 'price': 2664.425, 'commission': 0.0, 'swap': 0.0, 'profit': 0.0, 'fee': 0.0, 'symbol': 'XAUUSDc', 'comment': 'ID: 1 / LENH DCA NGHICH 3', 'external_id': ''}
{'ticket': 204172444, 'order': 266611689, 'time': 1732175707, 'time_msc': 1732175707182, 'type': 0, 'entry': 0, 'magic': 1, 'position_id': 266611689, 'reason': 3, 'volume': 0.01, 'price': 2662.723, 'commission': 0.0, 'swap': 0.0, 'profit': 0.0, 'fee': 0.0, 'symbol': 'XAUUSDc', 'comment': 'ID: 1 / LENH 1', 'external_id': ''}
{'ticket': 204174603, 'order': 266614837, 'time': 1732175873, 'time_msc': 1732175873411, 'type': 1, 'entry': 1, 'magic': 1, 'position_id': 266611689, 'reason': 5, 'volume': 0.01, 'price': 2663.723, 'commission': 0.0, 'swap': 0.0, 'profit': 1.0, 'fee': 0.0, 'symbol': 'XAUUSDc', 'comment': '[tp 2663.723]', 'external_id': ''}
